#汉字	近音同调	近音异调
一		
乙		
丁	祯增厅诊贞真针桢斟缯臻珍听砧憎榛侦甄汀曾箴	诊缜怎挺赠赈疹震霆梃振亭廷阵婷蜓枕鸩朕艇听娠镇停庭
系	洎暨寄忌祭蓟骑芰际剂继荠记季稷髻霁技纪觊既悸计跻系济妓鲫骥冀	棘玑羁疾肌集脊己借鸡矶乩积几绩期屐机楫瘠嵇迹蹟基级极居戢畸姬畿其击辑寂给犄饥及嫉疠几唧箕麂挤急伋奇吉讥激圾即汲勣稽吃亟跻籍岌叽济戟饥
罕	反返	氾繙犯范泛梵礬番贩藩汎蕃樊墦凡饭烦翻范钒繁幡帆
肖	教溴袖救窖就厩岫柩醮究较旧秀臼舅咎锈轿疚校宿叫嗅臭觉绣	啾朽修皎娇揪鸠灸羞蕉九浇饺跤狡鲛脩胶搅韭宿赳蛟久教姣骄玖纠侥焦詨角椒交咻礁较勦酒郊脚缴铰绞剿矫休嚼
肓	荤昏婚	馄辊珲混浑魂
肝	戡看勘刊堪	侃坎看槛瞰勘砍崁
肘	澡走藻沼早蚤找爪枣	皂鄹遭昭肇骤炤造着赵照灶凿燥钊棹朝噪罩邹糟奏诏陬晁召揍譟招兆嘲啁躁櫂
肛	糠跟慷康根	垦伉艮慷龈亘肯亢啃炕扛抗恳
肚	土兔吐菟	凸土荼兔涂酴图菟秃徒余突屠吐途
育	戊晤恶寤骛物勿悟坞雾兀误务钨軏垩	武污鹉巫侮吾亡诬无吴午五乌毋伍恶呜鼯妩于唔怃屋舞圬钨捂污梧芜蜈
良	痳霖麟鳞娘您林娘邻燐淋磷辚遴临琳璘	吝懔躏酿蔺凛赁
芒	们门扪	焖们懑闷
芋	戊晤恶寤骛物勿悟坞雾兀误务钨軏垩	武污鹉巫侮吾亡诬无吴午五乌毋伍恶呜鼯妩于唔怃屋舞圬钨捂污梧芜蜈
芍	熟	叟守寿受绶嗽飕嗾搜售馊蒐缫搔嫂狩骚收手兽瘦授艘首薮扫擞
见	现欠僩霰岘腺馅羡堑縴宪献歉倩限蚬苋陷县线	干签纤涎黔铣舷衔暹啣千钤秈嵌祆鲜仟咸縴仙骞虔谦牵搴贤钱前遣显嫌愆铅千箝迁签谴咸钳癣娴险阡姗闲闲絃弦蚬潜浅掀先藓
角	穴九朽巧雀悄酒筿晓玖纠瘸小愀韭鹊宿赳灸久学	嚣袖哮揪箫鸠囚穴究靴逍旧舅撬诮疚硝缺脩橇瞧傚嗅萧桥樵憔酵裘就笑霄龟求乔孝咻柩丘咎酋校锹侨休学绣毬溴啾雀跷修消厩邱肖鹊窍峭羞雪秋俏秀恪阙球销仇阕宿宵噱蚯薛枭确鞘救纠削效骁泅壳嘐血岫梂啸臼敲怯锈却谯臭榷潇秋鳅翘
言		
谷	苦戊晤恶寤骛物勿悟坞雾兀误务钨軏楛垩	武污窟鹉酷巫哭侮吾亡诬无枯吴午骷五乌毋伍恶呜鼯妩于唔怃屋舞圬钨捂库污梧裤芜蜈
豆	悼到导套透倒蹈稻盗道	刀涛萄岛焘韬桃偷头梼淘捣祷洮滔逃啕讨絛导叨陶掏倒饕投
豕	死	赐泗肆厮鸶饲巳伺嗣撕似耜丝思四祀司兕私食寺斯驷俟姒嘶
贝		
赤	赐伺次厕刺	辞疵此祠雌茨瓷词慈磁差
走	澡帚藻沼肘早蚤找爪枣	皂胄遭轴妯周昭肇炤绉造粥着宙赵照灶凿周燥钊棹朝噪罩糟诏冑纣晁召舟昼譟招兆咒嘲啁籀皱躁櫂州洲
足	叙轴筑絮蓄朮筑烛勗续序去娶畜恤竹洫竺婿酗趣卹漆顼绪躅逐旭	注朱茱璩许铢嘱须煦属渠煮嘘铸渚住墟助娶劬蛀伫藷拄瞿蛆诛硃须屈龋蛛訏蛐躯猪虚祝珠主杼苎柱取诸瞩圈徐砠曲需区咻驱岖趋胥曲吁侏戌箸贮驻注衢栩株
身	桑僧谖殇升胜喧圈汤伤笙甥升丧生煖暄轩晅宣昇觞萱壎牲森声商	铉赏蜷渑甽漩炫绚渲胜诠铨选佺踡省全璿泉旋圣盛玄丧拳嗓晌悬卷还犬裳乘賸尚权剩上眩绳劝畎荃券痊县
车	趋岖墟胥瞿吁戌蛆屈须訏圈须砠曲需区蛐躯虚驱嘘	叙絮蓄取璩许策徐测厕煦侧曲渠勗咻续序去畜恤娶洫劬酗婿趣曲瞿卹漆龋恻顼绪册衢栩旭
辛	泾粳馨精筋浆镶厢缰巾茎兴津惺乡疆斤星经香今惊江睛矜襄姜更襟筋兢晶旌僵京金湘鲸禁荆菁浸瓖姜腥猩将箱相	邢竟颈靖彊祥烬降静刑缙谨橡巷省陉进奖酱醒饷兴响幸竞噤尽形匠觐幸乡讲象璟桨锦近想项硎径境景详劲警行翔径瑾享型绛性尽井馑晋像痉紧净向仅禁镜庠蒋憬浸杏敬阱悻姓飨将相向强
辰	场長苌藏涔尝诚城程承曾盛徜尝层呈常岑乘肠裳澄丞惩偿橙成嫦	场畅猖倡敞唱秤撑氅骋参称伥昌鲳仓娼舱瞠沧逞苍厂怅伧
迂	屋污诬乌圬钨恶呜污于巫	武鹉晤骛巫侮吾悟坞亡误诬务无吴午五毋伍寤戊恶鼯妩唔物勿怃雾舞兀钨捂軏梧芜蜈垩
迆		
迅	隽浚郡峻骏濬俊蕈菌竣	炯窘雄迥凶钧龟凶军熊兄君均汹匈胸
迄	洎暨寄忌祭蓟骑芰际剂继荠记季稷髻霁技纪觊既悸计跻系济妓鲫骥冀	棘玑羁疾肌集脊己借鸡矶乩积几绩期屐机楫瘠嵇迹蹟基级极居戢畸姬畿其击辑寂给犄饥及嫉疠几唧箕麂挤急伋奇吉讥激圾即汲勣稽吃亟跻籍岌叽济戟饥
巡	熊雄	隽窘炯郡峻濬迥俊凶钧龟浚凶军兄君均汹骏匈蕈胸菌竣
邑		
邢	寻	竟颈泾信靖心粳烬馨芯精静筋缙谨进訢巾茎新竞噤津尽莘觐斤经璟锦近径昕今境欣惊景锌睛矜劲警襟更径筋兢瑾晶旌京井尽馑金晋鲸痉紧净仅禁荆镜菁薪憬浸辛敬衅阱
邪	捷劫拮栉桔截诘节羯讦杰竭桀睫撷孑结洁颉杰碣	姊阶芥皆解街嗟戒揭疥界偕借诫结姐借介接届
邦	奔贲	畚本笨苯
那	喇蜡剌腊辣落	喇蜡拉剌邋腊辣落啦
酉	窈夭咬舀杳	要哟淆耀夭崤谣瑶侥钥尧摇洮邀吆鹞榣腰乐肴姚幺遥肴窑药拗妖曜爻
釆		
里	你拟你旎	尼妮霓呢溺怩倪逆匿昵泥睨腻
防	行吭桁杭痕航汾坟焚	棻氛吩分恨很份芬狠粪奋行沆纷忿愤粉
阮		
阱	醒馑紧仅寝尽觐谨瑾省顷请锦	青邢信心烬馨芯秦筋情倾刑缙磬噙沁进陉琴訢芹巾兴庆新幸亲噤津尽莘形觐幸惺斤星揿氢顷近硎昕今清欣锌罄矜擎劲蜻襟擒行禽筋鲭侵檠型晴钦性尽金晋勤卿禁仅轻薪嵚杏浸辛寻衅悻姓腥猩
阪		
阬	更跟粳羹庚耕根赓	更垦耿埂艮龈啃梗亘肯恳哽
并	殡傧膑鬓	缤彬濒豳傧滨槟宾
乖		筷刽桧会块脍侩快
乳		
事	赐祀泗肆兕食饲巳伺嗣似耜寺驷姒俟四	撕司厮丝斯鸶私思嘶死
些	阶揭皆偕结街嗟接	捷芥拮桔截诘节杰桀疥借诫孑颉碣姊劫栉解羯讦竭戒睫界撷结洁借姐杰介届
亚		
享	觐蒋谨讲馑瑾桨紧锦奖仅尽	信心彊烬芯馨降筋缙浆进缰訢酱巾新津噤莘尽匠觐疆斤近昕今欣江锌矜姜劲襟筋绛僵尽金晋仅禁浸薪辛寻衅姜将强
京	青欣锌心馨芯矜蜻筋襟倾筋鲭侵訢钦巾兴新金亲津卿禁莘轻惺薪嵚斤浸星辛氢腥顷猩昕今清	邢信烬芯秦情刑倾缙谨磬噙沁陉省琴进芹醒兴庆幸噤亲尽形觐幸揿顷锦近硎罄擎劲行擒禽瑾檠型晴性尽馑晋勤紧仅禁寝浸杏寻衅悻姓请
佯	垠夤吟银鄞龈淫檐寅霪	瘾听胤印饮因尹茵音湮姻阴縯慇氤荫殷隐引蚓
依		
侍	赐祀泗肆兕食饲巳伺嗣似耜寺驷姒俟四	撕司厮丝斯鸶私思嘶死
佳	虾瞎	狎暇侠辖吓霞斜夏柙挟峡恰匣洽下卡狭黠遐厦呷瑕
使	赐祀泗肆兕食饲巳嗣伺似耜寺驷姒俟死四	赐泗肆厮鸶饲巳伺嗣撕似耜丝思死四祀司兕私食寺斯驷俟姒嘶
佬	篓瑙搂恼脑	楼铙耨喽露漏蝼陋闹瘺镂娄搂挠呶桡髅
供	倥琨焜崆锟昆空硿困髡棍困坤控昆	辊鲧倥琨焜崆滚锟昆梱空衮硿孔捆困髡恐綑棍困坤控昆
例	昵泥睨腻溺匿逆	妮尼泥霓呢你拟倪怩你旎
来		乃奶耐氖奈乃
侃	橄敢感稈杆赶	干竿甘疳柑淦干榦尴干坩赣杆肝
佰		
并	殡傧膑鬓	缤彬濒豳傧滨槟宾
侈	此	辞赐疵次祠雌词差伺茨厕瓷刺慈磁
佩		
佻		刁叼丢雕吊调掉凋钓碉鲷貂雕吊
仑	龙浓窿眬隆哝咙珑脓聋侬秾笼胧农	拢垄陇弄
佾		
侏	租	诅卒祖俎足组阻族嗾
侑	乐要钥耀药拗曜鹞	要淆哟夭崤咬谣杳瑶侥窈尧摇邀洮吆舀榣腰肴姚幺遥肴窑妖爻
佺		倦卷隽捐捲镌眷娟圈绢身涓鹃狷
兔	杜蠹度镀渡肚妒	髑渎堵椟读睹犊笃黩赌嘟肚都督毒牍独
儿		
兕	拭恃式轼适是饰柿奭氏士使视螫弑市示试豉仕噬誓筮室势侍世嗜识逝事释舐	豕尸匙湿狮虱使拾诗硕失十虱嘘始埘石蚀实食施时提史师湿尸矢什屎射驶
两	懔凛	痳霖麟鳞娘您蔺林娘邻燐淋磷吝躏酿辚遴临赁琳璘
具	叙去恤畜娶洫絮蓄酗婿趣卹漆绪顼勗续旭序	取璩许徐圈须砠煦曲区需渠驱咻嘘趋岖墟胥娶劬曲瞿吁戌蛆屈须龋訏蛐躯虚衢栩
其	携棘烯疾嬉集膝脊借妻溪析瘠楫栖漆慼蟋羲极级蹊戢曦淅悉熹击禧犀辑萋寂行蜥凄稀及嫉希吸欺唧晰畦兮急伋熙吉圾柒即厘汲谿譆吃亟牺唏晞悽嘻西籍岌奚戚七僖	歧洎玑暨祭耆脊惜乩剂祺玺积洗细几祁乞绩祇机屐祈迹嵇觊枝纪基迄夕锡歙锜居冀气旗汐给犄麒饥几麂继挤崎奇汽季稷髻霁矽喜企技勣稽既潟契悸跻席憩系熄砌鲫琪羁齐忌琦蓆肌棋己骑妻芰鸡矶岂绮弃碛启系记期器媳讫蹟息起计妓昔褶畸姬畿淇愒寄系翕蓟戏隙疠际习徙脐唧箕畦鳍荠杞圻鳃讥激岐衹亟泣叽济戟缉骥饥檄袭
典	腼腆舔忝	甜畋填添恬天田阗
冽	涅镊蘗嗫啮镍孽聂臬蹑	捏
函	藩蕃樊墦凡烦礬钒繁帆	氾繙犯范泛梵番贩反汎蕃饭翻范返幡帆
刻	铬搁割胳哥歌各戈疙个箇鸽	哥咯箇蛤镉隔膈阁合葛鸽郃歌格各戈骼疙个铬搁割胳革鬲
券	倦隽绢圈卷狷眷	圈捲身捲捐鹃涓镌娟
刷		
刺	赤炽翅斥啻饬敕叱	褫尺耻蚩痴呎踟侈匙痴吃栘齿弛持驰嗤池魑迟墀笞喫
到	豆套透读斗窦痘脰逗	斗涛萄蚪焘韬桃偷头梼淘都洮陡滔枓逃兜啕讨絛陶掏饕抖投
刮	夸夸	跨胯垮
制	字恣渍孳自	仔訾紫滓籽淄锱缁赀梓咨兹子姿孳资孜辎滋谘龇玆髭吱
剁	唾柝拓	陀跎沱妥托驮脱椭鸵佗拖驼托
劾		
劻	髡琨胱洸焜坤光锟昆昆	辊犷鲧滚梱衮捆困逛綑广棍困
卒	矗轴竹畜黜筑竺绌怵朮处筑烛逐躅歜触	注储朱茱厨褚雏铢嘱属橱楚煮初刍渚住铸出助除蛀伫拄藷跦楮诛硃蛛处猪祝珠主杼出苎柱诸杵瞩锄础侏箸贮驻注躇株
协	捷劫拮栉桔截诘节羯讦杰竭桀睫撷孑结洁颉杰碣	姊阶芥皆解街嗟戒揭疥界偕借诫结姐借介接届
卓	昨作砟	作座左凿做祚柞坐佐
卑		
卦	跨胯	夸夸垮
卷	铉甽漩犬炫绚渲眩选畎劝券旋	倦漩甽隽捲渲娟铨佺涓璿拳悬还捐煖暄轩宣眷眩鹃券县狷铉蜷炫镌绚谖喧圈绢诠身选踡全旋泉玄犬权晅萱壎劝畎荃痊
卸	戒芥疥界借诫解借介届	捷阶拮皆桔街截诘节杰桀揭孑颉接碣姊劫栉解嗟羯讦竭睫偕撷结洁姐杰
卹	炬苣飓惧具巨踞瞿钜倨剧遽屦距俱聚据句锯足拒	莒咀举桔疽橘蛆跼车驹俱拘狙侷掬菊局锯沮鞠居龃矩
取	莒咀举沮龃矩	炬苣飓具桔巨疽钜剧倨遽屦距俱狙侷掬聚据惧踞瞿橘蛆跼车驹拘局句菊锯沮足鞠拒居
叔	俗	塑苏肃苏粟诉素蓿簌宿缩速酥甦稣嗉溯夙
受	召邵绍扫哨嗽少	叟芍骚烧少杓飕韶嗾艘搜勺薮馊蒐缫捎扫擞搔稍嫂梢
味		
呵		
咖	嘎	价轧尬噶
呸		
咕	骷窟枯哭	苦库楛裤酷
咀	龋娶煦曲取咻栩许	叙絮蓄璩徐圈须砠曲需区渠勗驱续嘘序趋岖墟胥去恤畜娶洫劬酗婿趣曲瞿吁卹漆戌蛆须屈绪顼訏蛐躯虚衢旭
呻	桑生僧昇殇觞升胜汤牲森伤笙甥声商升丧	嗓晌赏渑乘裳賸尚剩胜上绳省圣盛丧
呷	浃荚戛颊夹挟	嘉架假夏钾加葭稼家甲迦驾价痂贾袈夹茄豭嫁佳胛家
咄	唾柝拓	陀跎沱妥托驮脱椭鸵佗拖驼托
咒	皂棹噪肇罩骤炤造奏诏晁召揍赵譟照兆灶躁櫂燥	钊鄹澡遭朝昭藻邹沼爪蚤糟枣晁陬召着走招嘲凿早啁找
咆	裒	剖
呼	孵趺麸肤鈇敷伕夫	氟缚匐馥覆附俯复夫頫蝠绋扶甫芾幅绂袱赙傅付拂涪抚斧赴莆彿服脯赋芙俘讣富府腑腐阜孚弗辐福浮腹伏符菔副复釜怫妇辅咐父负驸
咐	瓠互户沪楛沍护扈	壶胡鹄蝴胡琥湖葫囫弧虎许斛瑚惚唬乎戏呼糊忽狐
呱	骷夸窟夸枯哭	跨苦胯库楛裤酷垮
呶	楼劳喽娄唠蝼牢痨髅	佬耨露漏老陋络姥捞篓烙瘺劳镂搂酪
和	番蕃繙翻幡帆	氾犯范泛梵礬贩反藩汎蕃樊墦凡饭烦范钒繁返帆
咚	蹲通吞墩恫敦惇	钝铜桐僮恸豚潼屯筒臀统沌饨瞳同褪囤峒桶彤痛顿遁炖趸吨童盾盹
呢	喱璃厘离丽犁犛骊狸篱狸梨黎罹漓蠡蜊	俪澧醴肋哩历雳力栗立溧娌琍粒理利厉逦俐蛎蠡俚鬲莉栗礼丽鲤砾砺唳痢垃莅疠坜戾勒历吏笠浬叻例钋荔乐欐李锂里郦了隶里励沥
周	钊鄹遭朝昭邹糟晁陬召着招嘲啁	皂澡肇骤炤蚤造枣着赵照灶凿找燥棹噪罩藻沼爪奏诏晁召揍譟走兆早躁櫂
咋	蜇哲折折摘慑辄谪辙褶	遮扎蔗赭砸者匝宅浙这着杂螫咱偺鹧
命		岷渑玟民闵闽悯抿敏愍皿泯湣
咎	教溴袖鞘跷酵窖效笑肖壳窍孝岫醮峭啸较俏秀撬锈轿诮校宿叫傚嗅臭觉绣翘	毬嚣朽巧雀跷修哮皎消娇邱鹊箫蕉囚羞秋逍浇饺撬跤球狡筿鲛硝销橇胶脩仇搅瞧宿蛟萧宵桥教蚯枭樵憔悄姣裘骄侥削焦詨龟霄骁角愀泅交椒嘐求乔咻梂丘礁较勦敲晓郊脚缴谯铰小酋锹绞侨潇矫剿秋休鳅学翘嚼
固	库裤酷	骷窟苦楛枯哭
垃		呢
坷	葛	哥咯蛤箇镉隔膈阁合葛鸽郃歌格各戈骼疙个铬搁割胳革鬲
坪	频濒嫔贫颦	拼品姘聘牝
坩	戡看勘刊堪	侃坎看槛瞰勘砍崁
坡		
坦	撢胆疸	箪诞丹淡蛋石惮弹但啖啗氮旦担耽单澹
坤	共倥工蚣硿躬框筐功弓釭龚公攻宫红崆恭空劻匡肱洸胱供光	矿共辊鲧倥旷汞滚狂衮巩况孔恐框棍控拱圹犷诳廾眶空逛广贡供
坼	策恻测册厕侧	
夜		
奉	分恨忿愤份粪横奋	棻痕氛恒吩分汾很芬坟狠焚桁纷亨衡横哼粉
奇	携棘烯疾嬉集膝脊借妻溪析瘠楫栖漆慼蟋羲极级蹊戢曦淅悉熹击禧犀辑萋寂行蜥凄稀及嫉希吸欺唧晰畦兮急伋熙吉圾柒即厘汲谿譆吃亟牺唏晞悽嘻西籍岌奚戚七僖	歧洎玑暨祭耆脊惜乩剂祺玺积洗细几祁乞绩祇机屐祈迹嵇觊枝纪基迄夕锡歙锜居冀气旗汐给犄麒饥几麂继挤崎汽季稷髻霁矽喜企技勣稽既潟契悸跻席憩系熄砌鲫琪羁齐忌琦蓆肌棋己骑妻芰鸡矶岂绮弃碛启系记期器媳讫蹟息起计妓昔褶畸姬畿淇其愒寄系翕蓟戏隙疠际习徙脐唧箕畦鳍荠杞圻鳃讥激岐衹亟泣叽济戟缉骥饥檄袭
奈	睐癞籁赖濑	徕睐癞籁来赖莱濑
奄		
奔	傍帮崩邦梆绷	蚌傍绑棒旁迸榜甭膀蹦谤镑磅
妾	戒芥疥界借诫解借介届	捷阶拮皆桔街截诘节杰桀揭孑颉接碣姊劫栉解嗟羯讦竭睫偕撷结洁姐杰
妻	洎玑羁暨忌肌祭骑芰乩矶鸡剂积几记期绩机屐迹嵇觊纪蹟基计居妓冀畸姬畿其寄犄蓟饥际疠几唧箕继荠奇激讥季稷髻霁技稽勣既悸系跻叽济鲫骥饥	洎棘玑羁疾暨忌肌祭集脊己骑借芰鸡矶乩剂积几记绩期机屐楫瘠迹嵇觊纪蹟基计级极居妓冀畸戢姬畿其击寄辑寂给犄蓟饥及嫉疠际几唧箕麂继挤急伋荠奇吉讥激季圾即稷髻霁技汲稽勣吃亟既悸跻籍系岌叽济鲫戟骥饥
委		
妹		
妮	喱璃厘离丽犁犛骊狸篱狸梨黎罹漓蠡蜊	俪澧醴哩历雳力栗立溧娌琍粒理利厉逦俐蛎蠡俚莉鬲栗礼丽鲤砾砺唳痢莅疠坜戾历吏笠浬例钋荔欐李锂里隶郦里励沥
姑	骷窟枯哭	苦库楛裤酷
姆		
姐	写血且	携蟹协切邪斜骇惬挟懈妾窃燮谐伽蠍鞋楔洩颉绁胁邂榭歇屉解洩屑怯些卸械泻谢亵契偕撷挈茄锲勰
姗	笺监间尖肩缣湔兼奸坚三鞯渐菅歼奸缄艰溅参煎	件槛剑健僭见舰毽渐谏囝检柬简溅减笕践监箭间闲荐腱键剪建糁硷睑茧饯伞鉴鉴涧散贱捡拣俭荐
始	死	赐泗肆厮鸶饲巳伺嗣撕似耜丝思四祀司兕私食寺斯驷俟姒嘶
姓	竟信靖烬芯劲静径缙进尽晋痉竞净噤仅禁尽镜觐浸敬衅近径境	泾颈心粳馨芯精筋谨訢巾茎新津莘尽觐斤经璟锦昕今欣惊景锌睛矜警更襟筋兢瑾晶旌京井金馑鲸紧仅禁荆菁浸憬薪辛寻阱
姊	写血且	携蟹协切邪斜骇惬挟懈妾窃燮谐伽蠍鞋楔洩颉绁胁邂榭歇屉解洩屑怯些卸械泻谢亵契偕撷挈茄锲勰
妯	着凿	皂鄹澡遭昭肇骤炤蚤造枣着赵照灶找燥钊棹朝噪罩藻邹沼爪糟奏诏晁陬召揍譟招走兆嘲早啁躁櫂
你	礼澧醴浬理哩鲤逦李锂里里蠡俚娌	俪哩历雳力栗立溧黎琍粒璃离利厉狸俐蛎漓蠡莉鬲栗喱丽犁砾砺唳痢犛狸篱莅疠坜戾历吏笠厘例钋荔骊欐梨罹隶郦励沥蜊
姒	拭恃式轼适是饰柿奭氏士使视螫弑市示试豉仕噬誓筮室势侍世嗜识逝事释舐	豕尸匙湿狮虱使拾诗硕失十虱嘘始埘石蚀实食施时提史师湿尸矢什屎射驶
姅		
孟	焖懑闷	们闷门扪
孤	骷窟枯哭	苦库楛裤酷
季	愒系汐翕戏隙妻细碛弃汽系器矽企讫亟迄泣潟契夕系憩砌缉歙气	携歧琪烯齐嬉蓆琦耆膝棋骑妻惜玺祺洗溪岂绮祁析乞启祇期媳祈栖枝漆慼息蟋羲起锡蹊锜褶昔曦淅熹其悉淇旗禧犀萋麒行蜥凄稀希吸习欺脐徙畦晰鳍兮崎鳃圻杞熙奇岐柒衹厘喜譆谿稽牺唏嘻悽晞西席熄奚戚七袭檄僖
宗	盅忠钟肫衷终樽忪屯谆中尊钟遵	踵仲众准塚圳俊湩中肿重准塚撙种
定	听	廷婷蜓厅挺艇霆听汀停梃亭庭
官	宽髋	梡款
宜		
宙	皂棹噪肇罩骤炤造奏诏晁召揍赵譟照兆灶躁櫂燥	钊鄹澡遭朝昭藻邹沼爪蚤糟枣晁陬召着走招嘲凿早啁找
宛	弯湾豌莞剜蜿远	惋缘媛员丸原完园鸢圆援腕蜿挽远湲袁沅皖汍绾冤婉院源愿辕愿碗莞顽騵怨猿万元爰苑玩垣輓晚渊鸳娩
尚	肾蜃渗甚沁脤慎丧	嗓哂桑砷信审甚沈申莘伸呻深娠身森婶绅参丧神沈
屈	车驹俱狙拘疽锯沮居蛆	苣炬飓具桔巨钜倨剧遽屦距俱侷掬聚据龃咀莒举惧踞瞿橘跼局句菊锯沮足鞠拒矩
居	携烯嬉膝须妻溪嘘析墟栖瞿漆蛆慼蟋须羲屈訏蛐躯虚蹊曦淅悉熹禧犀萋行蜥凄圈稀砠希吸曲需区欺驱晰畦兮趋岖胥熙柒厘谿譆吁戌牺唏晞悽嘻西奚戚七僖	歧璩耆惜渠祺玺洗细祁去乞娶洫祇劬祈瞿枝漆迄夕锡歙锜气絮旗取汐麒曲勗咻崎奇汽酗婿趣矽曲喜企稽潟契席憩系熄砌栩旭琪蓄齐琦蓆许棋骑煦妻岂绮续弃碛恤启系期器媳讫息龋起顼昔褶叙淇其愒系翕戏徐隙习徙脐畦鳍序杞圻鳃畜岐衹卹亟泣绪衢缉檄袭
届	蟹切惬骇懈妾窃燮楔洩绁榭邂屉解洩屑怯械卸泻亵谢契挈锲	携协歇切写邪斜些且挟谐伽蠍鞋偕撷颉茄血勰胁
岷	瞑名螟酩明茗冥鸣铭暝	命暝
冈	糠跟慷康根	垦伉艮慷龈亘肯亢啃炕扛抗恳
岸		
巖		
岫	教救酵窖就效厩笑肖孝柩醮究啸较旧臼舅咎轿疚校叫傚觉	嚣啾皎哮消娇揪箫鸠灸蕉九逍浇饺跤狡筿鲛硝销胶搅韭赳蛟久萧宵教枭姣骄玖纠削侥焦詨霄骁角椒交嘐礁较勦酒郊脚晓缴小铰绞潇矫剿学嚼
岱	泰汰态太	薹台苔抬台跆胎台台
岳		
帘	黏年	念辇碾念拈廿撵辗撚捻涊
帚	澡走藻沼早蚤找爪枣	皂鄹遭昭肇骤炤造着赵照灶凿燥钊棹朝噪罩邹糟奏诏陬晁召揍譟招兆嘲啁躁櫂
帖	爹	碟跌耋牒迭蝶爹绖谍喋叠
帕		
帛		
帑	党挡讜档	儅当铛挡裆当荡荡
幸	竟信靖烬芯劲静径缙进尽晋痉竞净噤仅禁尽镜觐浸敬衅近径境	泾颈心粳馨芯精筋谨訢巾茎新津莘尽觐斤经璟锦昕今欣惊景锌睛矜警更襟筋兢瑾晶旌京井金馑鲸紧仅禁荆菁浸憬薪辛寻阱
庚	跟吭铿阬根坑	垦艮龈啃亘肯恳
店		甜畋腼填腆舔添忝恬天田阗
府	唬琥许虎	瓠壶胡蝴鹄斛惚戏呼户沪沍楛护狐互胡湖囫葫扈弧瑚乎忽糊
底	体	悌屉啼剃隄提嚏剔题涕梯堤蹄踢缇替锑逖惕
庖	裒	剖
延		
弦		件剑见缣鞯毽渐囝简笕减肩建硷睑坚饯鉴鉴涧贱捡拣俭煎笺槛健僭兼舰奸歼奸谏艰柬检溅践监箭间闲尖湔荐腱剪键茧菅缄荐
弧	氟缚匐夫蝠绋扶芾幅孚弗辐绂袱福浮伏符菔拂涪怫彿服芙俘	富馥覆附肤俯鈇复府夫腑腐頫甫阜腹赙副傅复釜敷付抚斧孵赴妇莆趺辅咐父麸脯赋负驸伕讣
弩	铝卤鲁掳卤吕橹缕褛膂女旅娄侣屡虏履	绿律胪鑪鲈戮麓颅炉噜闾鹭滤录穋禄赂率芦路卢榈露鹿僇碌氯驴陆庐虑忸泸
往	允吻陨稳刎	员玟耘文闻孕瘟熨温愠芸塭云韵雯纹运紊蚊筠昀晕酝抆蕴氲汶纭匀问云免
征	祯增诊贞真针桢斟缯臻珍砧憎侦榛甄曾箴	阵枕诊鸩缜怎赠朕赈疹震娠镇振
彿	壶胡蝴鹄胡湖囫葫弧斛瑚糊狐	瓠互琥虎扈许惚唬乎戏呼户忽沪楛沍护
彼		
忝	点碘典	奠甸店颠靛玷佃惦滇电钿淀殿垫巅癫
忠	屯谆踪尊肫纵综遵鬃樽宗棕	傯准总粽纵综圳准从俊撙
忽	孵趺麸肤鈇敷伕夫	氟缚匐馥覆附俯复夫頫蝠绋扶甫芾幅绂袱赙傅付拂涪抚斧赴莆彿服脯赋芙俘讣富府腑腐阜孚弗辐福浮腹伏符菔副复釜怫妇辅咐父负驸
念	炼恋殓潋敛练炼链楝	帘莲联帘鲢濂连奁涟怜镰廉脸
忿	行放沆缝讽恨奉凤俸横	疯吭峰航妨恒倣丰讽舫逢仿很丰冯纺行枫锋杭桁访烽坊芳风亨房横哼痕肪狠方缝蜂防枋仿封衡
怏	胤印饮荫隐	夤听银饮尹茵寅姻湮慇殷引瘾鄞因龈淫音檐垠阴吟縯氤隐蚓霪
怔	祯增诊贞真针桢斟缯臻珍砧憎侦榛甄曾箴	阵枕诊鸩缜怎赠朕赈疹震娠镇振
怯	倔戒芥疥界借诫解借介届	捷拮獗皆蹶桔劂节揭桀颉诀劫鳜栉嗟讦羯倔竭攫觉杰蕨厥噱阶截街诘杰角孓孑接碣姊掘鴃抉决谲解脚玨睫偕崛爵撷觼结洁姐绝嚼
怵	镞趋错促卒槭蹴蹙簇醋趣	粗
怖		
怪	筷刽桧会块脍侩快	
怕		
怡		
性	竟信靖烬芯劲静径缙进尽晋痉竞净噤仅禁尽镜觐浸敬衅近径境	泾颈心粳馨芯精筋谨訢巾茎新津莘尽觐斤经璟锦昕今欣惊景锌睛矜警更襟筋兢瑾晶旌京井金馑鲸紧仅禁荆菁浸憬薪辛寻阱
怩	喱璃厘离丽犁犛骊狸篱狸梨黎罹漓蠡蜊	俪澧醴哩历雳力栗立溧娌琍粒理利厉逦俐蛎蠡俚莉鬲栗礼丽鲤砾砺唳痢莅疠坜戾历吏笠浬例钋荔欐李锂里隶郦里励沥
怫	壶胡蝴鹄胡湖囫葫弧斛瑚糊狐	瓠互黑琥虎扈许惚唬乎戏嘿呼户忽沪楛沍护
怛		他塔牠漯它獭遢遝榻她踏蹋塌跶挞
或		
